acct_id,subscription_expected_events,subscription_actual_events,subscription_event_gap,subscription_utilization_pct,subscription_packages
274629,24.0,22,2.0,0.9166666666666666,1
274838,8.0,5,3.0,0.625,1
275146,12.0,12,0.0,1.0,1
275883,12.0,12,0.0,1.0,1
275916,6.0,6,0.0,1.0,1
276268,60.0,30,30.0,0.5509259259259259,3
276972,12.0,12,0.0,1.0,1
278380,6.0,6,0.0,1.0,1
278655,6.0,5,1.0,0.8333333333333334,1
278688,8.0,8,0.0,1.0,1
278974,10.0,10,0.0,1.0,2
279403,12.0,10,2.0,0.8333333333333334,1
280217,24.0,24,0.0,1.0,2
280371,12.0,12,0.0,1.0,2
280393,12.0,12,0.0,1.0,1
281493,6.0,1,5.0,0.16666666666666666,1
281592,24.0,24,0.0,1.0,1
282824,18.0,14,4.0,0.75,2
283011,6.0,7,-1.0,1.1666666666666667,1
283110,4.0,4,0.0,1.0,1
283451,24.0,24,0.0,1.0,1
284892,24.0,10,14.0,0.41666666666666663,1
285695,12.0,10,2.0,0.8333333333333334,1
285772,12.0,12,0.0,1.0,1
286036,24.0,22,2.0,0.9166666666666667,1
286432,6.0,6,0.0,1.0,1
286608,6.0,1,5.0,0.16666666666666666,1
287235,24.0,17,7.0,0.7083333333333334,1
287477,24.0,18,6.0,0.75,1
287785,12.0,12,0.0,1.0,1
288951,16.0,12,4.0,0.7777777777777778,3
289094,4.0,4,0.0,1.0,1
289446,12.0,12,0.0,1.0,1
289545,12.0,12,0.0,1.0,2
290216,8.0,8,0.0,1.0,1
290403,4.0,4,0.0,1.0,1
291492,36.0,36,0.0,1.0,1
292328,12.0,12,0.0,1.0,1
292581,6.0,6,0.0,1.0,1
293637,10.0,8,2.0,0.8333333333333333,2
295804,4.0,4,0.0,1.0,1
296453,12.0,10,2.0,0.8333333333333333,1
297058,6.0,3,3.0,0.5,1
297289,8.0,8,0.0,1.0,1
297300,6.0,6,0.0,1.0,1
297663,4.0,4,0.0,1.0,1
297707,12.0,12,0.0,1.0,2
297916,6.0,6,0.0,1.0,1
298994,8.0,7,1.0,0.875,1
299467,6.0,6,0.0,1.0,1
300259,6.0,6,0.0,1.0,1
300281,12.0,12,0.0,1.0,1
300490,12.0,12,0.0,1.0,1
301260,4.0,3,1.0,0.75,1
301810,12.0,12,0.0,1.0,1
302536,12.0,12,0.0,1.0,1
302569,24.0,18,6.0,0.8333333333333334,2
302756,48.0,39,9.0,0.8125,1
303042,6.0,6,0.0,1.0,1
303548,8.0,7,1.0,0.875,1
304032,12.0,9,3.0,0.75,1
304560,8.0,6,2.0,0.75,1
304659,12.0,12,0.0,1.0,1
304703,6.0,6,0.0,1.0,1
304780,12.0,10,2.0,0.8333333333333334,1
304835,48.0,48,0.0,1.0,1
305176,48.0,26,22.0,0.7083333333333334,2
306166,10.0,10,0.0,1.0,2
306309,18.0,1,17.0,0.05555555555555555,1
306573,12.0,6,6.0,0.5,2
306672,12.0,12,0.0,1.0,1
310918,8.0,8,0.0,1.0,1
311512,4.0,4,0.0,1.0,1
311578,48.0,48,0.0,1.0,1
311688,6.0,6,0.0,1.0,1
311754,12.0,11,1.0,0.9166666666666667,1
311963,12.0,10,2.0,0.8333333333333334,1
312073,24.0,22,2.0,0.9166666666666666,1
312271,24.0,22,2.0,0.9166666666666667,1
312315,24.0,24,0.0,1.0,1
314053,12.0,12,0.0,1.0,1
314108,12.0,12,0.0,1.0,1
314141,4.0,4,0.0,1.0,1
314163,6.0,6,0.0,1.0,1
314482,12.0,11,1.0,0.9166666666666667,1
314790,12.0,12,0.0,1.0,1
315285,6.0,6,0.0,1.0,1
315340,12.0,12,0.0,1.0,1
315472,30.0,25,5.0,0.5833333333333334,2
315505,36.0,27,9.0,0.75,1
315813,6.0,6,0.0,1.0,1
315967,54.0,29,25.0,0.6342592592592592,3
316110,48.0,47,1.0,0.9791666666666667,1
316781,12.0,12,0.0,1.0,1
317133,8.0,7,1.0,0.875,1
317551,12.0,12,0.0,1.0,1
318552,6.0,12,-6.0,2.0,1
319201,12.0,12,0.0,1.0,1
319509,6.0,6,0.0,1.0,1
320576,12.0,12,0.0,1.0,1
320631,12.0,12,0.0,1.0,1
322116,12.0,12,0.0,1.0,1
322512,10.0,6,4.0,0.5833333333333333,2
322655,18.0,11,7.0,0.6111111111111112,2
322710,6.0,6,0.0,1.0,1
323106,18.0,2,16.0,0.125,2
323304,6.0,3,3.0,0.5,1
323667,12.0,12,0.0,1.0,1
323766,90.0,46,44.0,0.48263888888888884,3
325262,6.0,3,3.0,0.5,1
