acct_id,fiscal_year,price_code_type,package_size,actual_events,tickets_sold,avg_seats_per_event,expected_events,event_gap,utilization_pct
134159,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
135270,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
135270,FY24,Fixed Established Subscription 6 Concert,6.0,7,12,1.7142857142857142,6.0,-1.0,1.1666666666666667
135336,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
135336,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
135402,FY23,Fixed Sophomore Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
135402,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
136777,FY23,Fixed Sophomore  Subscription Sunday,4.0,3,6,2.0,4.0,1.0,0.75
136777,FY23,Fixed Sophomore Subscription 18 Concert,18.0,1,2,2.0,18.0,17.0,0.05555555555555555
136898,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
136898,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
137811,FY23,Fixed Chorus Subscription 6 Concert,6.0,1,1,1.0,6.0,5.0,0.16666666666666666
138218,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
138218,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
139175,FY23,Fixed Established Subscription Sunday,4.0,4,16,4.0,4.0,0.0,1.0
139175,FY24,Fixed Established Subscription Sunday,4.0,4,16,4.0,4.0,0.0,1.0
139824,FY23,Fixed Established Subscription 6 Concert,6.0,7,18,1.5,6.0,-1.0,1.1666666666666667
139824,FY23,Fixed Musician Subscription 12 Concert,12.0,1,1,1.0,12.0,11.0,0.08333333333333333
139824,FY24,Fixed Established Subscription 6 Concert,6.0,6,18,1.6363636363636365,6.0,0.0,1.0
139923,FY23,Fixed Established Subscription 6 Concert,6.0,12,24,2.0,6.0,-6.0,2.0
139923,FY23,Fixed Established Subscription Sunday,4.0,3,6,2.0,4.0,1.0,0.75
139923,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
140341,FY23,Fixed Freshman Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
141210,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
141815,FY23,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
141815,FY24,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
141881,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
141881,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
142365,FY23,Fixed Established Subscription 6 Concert,6.0,4,8,2.0,6.0,2.0,0.6666666666666666
142365,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
142442,FY23,Fixed Established Subscription 6 Concert,6.0,5,10,2.0,6.0,1.0,0.8333333333333334
142838,FY23,Fixed Chorus Subscription 6 Concert,6.0,1,2,2.0,6.0,5.0,0.16666666666666666
143091,FY23,Fixed Established Subscription 12 Concert,12.0,12,24,2.0,12.0,0.0,1.0
143091,FY24,Fixed Established Subscription 12 Concert,12.0,12,24,2.0,12.0,0.0,1.0
143630,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
143630,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
144565,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
144565,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
144587,FY23,Fixed Sophomore Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
144587,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
145082,FY23,Fixed Established Subscription 24 Concert,24.0,20,40,2.0,24.0,4.0,0.8333333333333334
145082,FY24,Fixed Established Subscription 24 Concert,24.0,16,32,2.0,24.0,8.0,0.6666666666666666
145621,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
145621,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
145687,FY23,Fixed Established Subscription 24 Concert,24.0,24,48,2.0,24.0,0.0,1.0
145687,FY24,Fixed Established Subscription 24 Concert,24.0,25,48,1.92,24.0,-1.0,1.0416666666666667
145830,FY23,Fixed Established Subscription 12 Concert,12.0,12,12,1.0,12.0,0.0,1.0
145830,FY24,Fixed Established Subscription 12 Concert,12.0,12,12,1.0,12.0,0.0,1.0
146083,FY23,Fixed Established Subscription 24 Concert,24.0,23,45,1.875,24.0,1.0,0.9583333333333334
146083,FY24,Fixed Established Subscription 24 Concert,24.0,24,48,2.0,24.0,0.0,1.0
146413,FY23,Fixed Established Subscription 12 Concert,12.0,3,3,1.0,12.0,9.0,0.25
146952,FY23,Fixed Established Subscription 12 Concert,12.0,12,12,1.0,12.0,0.0,1.0
146952,FY24,Fixed Established Subscription 12 Concert,12.0,12,12,1.0,12.0,0.0,1.0
147513,FY23,Fixed Established Subscription 24 Concert,24.0,23,23,1.0,24.0,1.0,0.9583333333333334
147513,FY24,Fixed Established Subscription 24 Concert,24.0,24,28,1.12,24.0,0.0,1.0
147810,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
147810,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
149889,FY23,Fixed Established Subscription 6 Concert,6.0,4,8,2.0,6.0,2.0,0.6666666666666666
149889,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
150857,FY24,Fixed Freshman Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
151319,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
151319,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
151352,FY23,Fixed Established Subscription 24 Concert,24.0,24,48,2.0,24.0,0.0,1.0
151352,FY24,Fixed Established Subscription 24 Concert,24.0,22,47,2.1363636363636362,24.0,2.0,0.9166666666666666
151814,FY23,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
151814,FY24,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
152133,FY23,Fixed Established Subscription 18 Concert,18.0,6,12,2.0,18.0,12.0,0.3333333333333333
152133,FY23,Fixed Established Subscription 6 Concert,6.0,12,24,2.0,6.0,-6.0,2.0
152133,FY24,Fixed Established Subscription 6 Concert,6.0,18,36,2.0,6.0,-12.0,3.0
152518,FY24,Fixed Established Subscription 6 Concert,6.0,1,2,2.0,6.0,5.0,0.16666666666666666
153079,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
154245,FY23,Fixed Lapsed Subscription 6 Concert,6.0,6,11,1.8333333333333333,6.0,0.0,1.0
154245,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,1.7142857142857142,6.0,0.0,1.0
154850,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,1.0,6.0,0.0,1.0
155367,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
155367,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
155730,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
156093,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
156093,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
