price,seats_sold,transactions,num_events,total_revenue
295.0,105,21,7,30975.0
295.5,3,1,1,886.5
296.0,28,7,4,8288.0
297.0,36,12,3,10692.0
298.0,30,8,8,8940.0
300.0,304,78,30,91200.0
300.9,6,1,1,1805.3999999999999
301.0,7,1,1,2107.0
302.6,12,3,2,3631.2000000000003
303.0,3,1,1,909.0
304.0,60,15,6,18240.0
305.0,25,5,5,7625.0
306.0,150,37,25,45900.0
308.0,71,17,12,21868.0
308.25,33,11,4,10172.25
309.0,129,42,18,39861.0
310.0,48,12,9,14880.0
312.0,128,31,19,39936.0
315.0,85,13,7,26775.0
316.0,44,11,7,13904.0
318.0,350,164,13,111300.0
320.0,68,15,10,21760.0
321.0,3,1,1,963.0
323.25,21,7,4,6788.25
323.4,6,1,1,1940.3999999999999
324.0,42,8,8,13608.0
325.0,30,6,4,9750.0
327.0,87,29,23,28449.0
328.0,36,6,5,11808.0
330.0,144,32,23,47520.0
331.0,4,1,1,1324.0
332.0,92,23,13,30544.0
333.0,96,32,17,31968.0
334.0,16,8,1,5344.0
335.0,20,4,2,6700.0
336.0,18,3,2,6048.0
338.0,34,17,1,11492.0
339.0,33,11,9,11187.0
340.0,120,29,14,40800.0
342.0,60,17,14,20520.0
343.0,28,4,2,9604.0
344.0,4,1,1,1376.0
345.0,149,31,18,51405.0
346.25,5,1,1,1731.25
348.0,51,15,9,17748.0
350.0,78,16,5,27300.0
351.0,54,6,2,18954.0
352.0,52,12,10,18304.0
354.0,78,13,7,27612.0
355.0,5,1,1,1775.0
356.0,264,66,5,93984.0
357.0,51,13,6,18207.0
360.0,108,18,16,38880.0
363.0,12,4,4,4356.0
364.0,8,2,2,2912.0
366.0,6,2,2,2196.0
367.2,6,1,1,2203.2
368.0,32,8,6,11776.0
369.0,18,4,4,6642.0
370.0,7,2,2,2590.0
372.0,180,45,15,66960.0
