purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
67.0,867,469,52,58089.0,22366,0.27452039325911654,0.010641562235341769,56.44526530261559
66.0,412,228,31,27192.0,22778,0.27957728327175874,0.0050568900126422255,56.44526530261559
65.5,3,3,1,196.5,22781,0.2796141052864139,3.682201465516183e-05,56.44526530261559
65.0,562,256,31,36530.0,23343,0.2865120960318142,0.006897990745400317,56.44526530261559
64.0,699,324,60,44736.0,24042,0.29509162544646694,0.008579529414652707,56.44526530261559
63.0,84,46,13,5292.0,24126,0.2961226418568115,0.0010310164103445314,56.44526530261559
62.5,11,5,2,687.5,24137,0.29625765591054704,0.0001350140537355934,56.44526530261559
62.0,638,285,17,39556.0,24775,0.3040884710272115,0.007830815116664416,56.44526530261559
61.6,10,9,2,616.0,24785,0.304211211076062,0.00012274004885053945,56.44526530261559
61.2,8,4,1,489.6,24793,0.30430940311514243,9.819203908043156e-05,56.44526530261559
61.0,1210,654,28,73810.0,26003,0.31916094902605774,0.014851545910915273,56.44526530261559
60.8,14,7,6,851.1999999999999,26017,0.31933278509444846,0.00017183606839075522,56.44526530261559
60.0,1686,878,60,101170.0,27703,0.3400267573306494,0.02069397223620095,56.44526530261559
59.0,1074,463,57,63366.0,28777,0.3532090385771974,0.013182281246547935,56.44526530261559
58.65,4,1,1,234.6,28781,0.35325813459673755,4.909601954021578e-05,56.44526530261559
58.0,277,136,9,16066.0,29058,0.35665803394989753,0.0033998993531599428,56.44526530261559
57.75,117,67,40,6756.75,29175,0.3580940925214488,0.0014360585715513115,56.44526530261559
57.6,2,1,1,115.2,29177,0.35811864053121895,2.454800977010789e-05,56.44526530261559
57.0,741,374,32,42237.0,29918,0.3672136781510439,0.009095037619824973,56.44526530261559
56.8,5,3,3,284.0,29923,0.3672750481754692,6.137002442526973e-05,56.44526530261559
56.0,3150,1624,97,176422.0,33073,0.4059381635633891,0.03866311538791992,56.44526530261559
