price_code,total_revenue,avg_price,ticket_count,unique_patrons,pct_of_tickets,pct_of_revenue
FU1,5994.5,149.8625,40,10,0.05,0.08
F5S,5872.0,81.55555555555556,72,20,0.1,0.08
E,5853.0,127.23913043478261,46,38,0.06,0.08
DE2,5810.0,43.03703703703704,135,8,0.18,0.08
HSS,5802.25,81.72183098591549,71,19,0.1,0.08
IS1,5750.0,41.36690647482014,139,26,0.19,0.08
HE2,5712.0,67.2,85,6,0.12,0.08
FS2,5411.0,102.09433962264151,53,5,0.07,0.08
JAO,5364.0,52.077669902912625,103,57,0.14,0.07
AU1,5186.0,108.04166666666667,48,10,0.07,0.07
DWB,5147.0,109.51063829787235,47,36,0.06,0.07
JWB,4924.0,58.61904761904762,84,33,0.11,0.07
JSS,4822.5,65.16891891891892,74,12,0.1,0.07
FAE,4731.0,205.69565217391303,23,21,0.03,0.07
GS1,4624.0,88.92307692307692,52,14,0.07,0.06
G39,4446.0,71.70967741935483,62,32,0.08,0.06
BAE,4442.0,177.68,25,19,0.03,0.06
A5S,4422.5,92.13541666666667,48,16,0.07,0.06
BWB,4351.0,140.3548387096774,31,23,0.04,0.06
AU3,4314.0,134.8125,32,2,0.04,0.06
FF4,4302.0,50.61176470588235,85,7,0.12,0.06
DF1,4289.5,19.58675799086758,219,43,0.3,0.06
B5S,4244.5,62.419117647058826,68,19,0.09,0.06
JF1,4196.5,21.410714285714285,196,41,0.27,0.06
EE2,4020.0,54.32432432432432,74,7,0.1,0.06
IAE,3820.0,103.24324324324324,37,36,0.05,0.05
HS1,3760.0,57.84615384615385,65,16,0.09,0.05
IE2,3750.0,43.604651162790695,86,11,0.12,0.05
GSS,3701.75,154.23958333333334,24,8,0.03,0.05
CU1,3701.0,55.23880597014925,67,17,0.09,0.05
A3S,3652.0,104.34285714285714,35,10,0.05,0.05
HAE,3497.0,112.80645161290323,31,22,0.04,0.05
EE4,3461.5,52.446969696969695,66,12,0.09,0.05
CC1,3434.0,50.5,68,17,0.09,0.05
DS1,3255.0,28.304347826086957,115,22,0.16,0.05
GAE,3236.0,179.77777777777777,18,17,0.02,0.04
DSS,3207.25,61.67788461538461,52,12,0.07,0.04
IAJ,3200.0,100.0,32,27,0.04,0.04
JAE,3194.0,70.97777777777777,45,40,0.06,0.04
EWS,3148.0,41.973333333333336,75,8,0.1,0.04
BU1,3126.0,65.125,48,8,0.07,0.04
FM3,3092.5,85.90277777777777,36,1,0.05,0.04
E5S,3087.0,34.68539325842696,89,22,0.12,0.04
AF2,3026.5,77.6025641025641,39,6,0.05,0.04
CF2,2988.0,36.4390243902439,82,13,0.11,0.04
AS2,2793.75,107.45192307692308,26,5,0.04,0.04
CS2,2771.5,92.38333333333334,30,5,0.04,0.04
CF3,2757.0,44.46774193548387,62,6,0.08,0.04
DAJ,2720.0,93.79310344827586,29,19,0.04,0.04
B3S,2715.0,77.57142857142857,35,11,0.05,0.04
FC1,2662.0,140.10526315789474,19,3,0.03,0.04
GAJ,2548.0,159.25,16,16,0.02,0.04
H3S,2483.0,57.74418604651163,43,13,0.06,0.03
AU4,2477.75,107.72826086956522,23,2,0.03,0.03
D,2467.0,102.79166666666667,24,22,0.03,0.03
E39,2418.0,63.63157894736842,38,12,0.05,0.03
AM4,2404.75,40.079166666666666,60,2,0.08,0.03
I5S,2390.5,33.66901408450704,71,22,0.1,0.03
G5S,2389.5,74.671875,32,11,0.04,0.03
EF4,2331.75,24.2890625,96,7,0.13,0.03
AS3,2278.0,126.55555555555556,18,1,0.02,0.03
FF2,2261.25,77.97413793103448,29,4,0.04,0.03
HS4,2226.5,42.009433962264154,53,4,0.07,0.03
BU2,2172.0,72.4,30,3,0.04,0.03
F,2153.0,165.6153846153846,13,12,0.02,0.03
